Name,Location,StartDate,LastUpdate,Type,Type_Level,Description,Owner
1789 4th St Space B,1789 4th St Space B,02/09/2021,03/02/2021,Commercial,Commercial,"On this project at 1789 4th St Space B, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.", Herman Miller Inc.
7 Gauss Way,7 Gauss Way,10/26/2020,04/12/2021,State / County,State / County,"On this project at 7 Gauss Way, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
1980 Allston Way,1980 Allston Way,04/26/2018,06/01/2018,Commercial,Commercial,"On this project at 1980 Allston Way, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Unified School District
2666-2688 Bancroft Way Kroeber Hall,2666-2688 Bancroft Way Kroeber Hall,04/28/2021,05/03/2021,State / County,State / County,"On this project at 2666-2688 Bancroft Way Kroeber Hall, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
540 Cleveland Ave,540 Cleveland Ave,04/25/2018,04/25/2018,State / County,State / County,"On this project at 540 Cleveland Ave, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Albany (CA)
1518 martin luther king jr way,1518 martin luther king jr way,04/05/2018,01/04/2021,Commercial,Commercial,"On this project at 1518 martin luther king jr way, Berkeley, CA 94709 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2495 Bancroft Way,2495 Bancroft Way,04/26/2018,12/04/2018,Commercial,Commercial,"On this project at 2495 Bancroft Way, Berkeley, CA 94720 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2150 Berkeley Way,2150 Berkeley Way,04/24/2018,04/25/2018,Commercial,Commercial,"On this project at 2150 Berkeley Way, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2701 8th St,2701 8th St,05/23/2013,04/26/2018,Commercial,Commercial,"On this project at 2701 8th St, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
Ave,Ave,03/23/2012,06/27/2023,Federal,Federal,"On this project at Ave, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2123 University Ave,2123 University Ave,01/11/2021,03/09/2021,Commercial,Commercial,"On this project at 2123 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2301 Bancroft Way,2301 Bancroft Way,03/01/2021,10/03/2022,State / County,State / County,"On this project at 2301 Bancroft Way, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
1200 Sixth St,1200 Sixth St,11/18/2021,09/22/2022,Commercial,Commercial,"On this project at 1200 Sixth St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2441 Haste St,2441 Haste St,04/26/2018,04/26/2018,Commercial,Commercial,"On this project at 2441 Haste St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",ROEM Development Corporation
2010 Milvia St,2010 Milvia St,05/05/2022,09/06/2022,Commercial,Commercial,"On this project at 2010 Milvia St, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","Landmark Collegiate Development, LLC"
